,Date,BTC-USD,ETH-USD,LTC-USD,XRP-USD,DOGE-USD,MATIC-USD,LINK-USD,ADA-USD,BNB-USD,TRX-USD,DOT-USD,SOL-USD,ETH-BTC,LTC-BTC,XRP-BTC,DOGE-BTC,MATIC-BTC,LINK-BTC,ADA-BTC,BNB-BTC,TRX-BTC,DOT-BTC,SOL-BTC
77,2014-12-03,381.721985,0.0,3.628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009504299313543598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2014-12-04,375.717987,0.0,3.6117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009612795035016516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2014-12-05,369.441986,0.0,3.59409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009728428646981126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2014-12-06,376.756989,0.0,3.61596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00959759236211541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2014-12-07,374.835999,0.0,3.6156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009645818463663625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2014-12-08,374.964996,0.0,3.70837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009889909830409877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2014-12-09,361.894989,0.0,3.65502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010099670100709794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2014-12-10,352.204987,0.0,3.52384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010005082636720302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2014-12-11,344.339996,0.0,3.49393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010146744614587266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2014-12-12,350.833008,0.0,3.4789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009916113708434184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2014-12-13,352.381012,0.0,3.48657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00989431859625853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2014-12-14,346.72699,0.0,3.4752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01002287130863392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2014-12-15,351.360992,0.0,3.48111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009907502765702575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2014-12-16,345.673004,0.0,3.45184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009985853566973948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2014-12-17,326.855011,0.0,3.01056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009210689445418967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2014-12-18,319.785004,0.0,2.94443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00920752994408706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2014-12-19,311.178986,0.0,2.80528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009015004631450274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2014-12-20,317.618988,0.0,2.8671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00902685326860874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2014-12-21,329.542999,0.0,2.91463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008844460385577785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
